,method,DEMaP,ARI,1-nn
,PHATE,0.6753764491164811,0.8414827787074799,0.9937000000000001
,UMAP,0.6748115331155019,0.7523943694056981,0.99885
,TSNE,0.6744073096258947,0.6526998596287649,0.9981000000000002
,ISOMAP,0.6217588665582201,0.5228807326855273,0.8681000000000001
,PCA,0.5207089140956974,0.6807071427898477,0.9933
,MDS,0.48282672170536384,0.34744795151185476,0.7499
