,method,DEMaP,ARI,1-nn
,TSNE,0.7839842282923554,0.8028805271515793,0.9990500000000001
,PHATE,0.7800644633020077,0.998071260231432,0.999
,UMAP,0.7790226821911928,0.8034026910068013,0.9992000000000001
,ISOMAP,0.7359292170268901,0.6752939691250193,0.9555999999999999
,PCA,0.5817426494824652,0.8091048123860461,0.9971500000000001
,MDS,0.5613953961338565,0.5076979710397959,0.90395
