,method,DEMaP,ARI,1-nn
,PHATE,0.796603476344239,0.47413497978081875,0.8390000000000001
,UMAP,0.7329488089826405,0.46697007733001317,0.8993
,ISOMAP,0.7145459524729628,0.45847914591105265,0.66705
,TSNE,0.6831967035632744,0.44519496409407944,0.89435
,MDS,0.4844476154000095,0.22434903827638267,0.56015
,PCA,0.453710437295358,0.4224957524430835,0.8585999999999998
