,method,DEMaP,ARI,1-nn
,PHATE,0.8298782187428536,0.6662738544666873,0.8871499999999999
,UMAP,0.8131112012472044,0.6406387149723564,0.9154500000000001
,TSNE,0.8099110330123165,0.6026294521023696,0.90825
,ISOMAP,0.7279202568135199,0.411123476021642,0.7025
,MDS,0.4866530641700362,0.23953298621702776,0.5117999999999999
,PCA,0.48468860573024314,0.6119941096270195,0.8868500000000001
