,method,DEMaP,ARI,1-nn
,UMAP,0.7917872248063774,0.5301040832237689,0.8304
,PHATE,0.7819143918904439,0.5376608888011999,0.7926
,TSNE,0.7324156029780466,0.5178401422437422,0.8282999999999999
,ISOMAP,0.6122092788810368,0.2511624793679209,0.4843
,PCA,0.4577336627567736,0.5094305907673105,0.7945
,MDS,0.3504290313415883,0.1077961504540416,0.29245
