,method,DEMaP,ARI,1-nn
,UMAP,0.8578080596994698,0.4344302642714458,0.9443999999999999
,PHATE,0.8265105409547052,0.408945818811435,0.9257499999999999
,TSNE,0.8015982803711819,0.43415446588009965,0.9462499999999998
,ISOMAP,0.7756320282834289,0.24493849994092817,0.74045
,PCA,0.5706567096824858,0.4163299168806999,0.93
,MDS,0.5143021990543033,0.20808037537776689,0.65805
